Ticker,Role,Split,Observations,First_Input_Date,Last_Input_Date,First_Target_Date,Last_Target_Date
AAPL,Stock,Train,2897,2010-06-30,2021-12-30,2010-07-01,2021-12-31
AAPL,Stock,Validation,501,2021-12-31,2023-12-28,2022-01-03,2023-12-29
AAPL,Stock,Test,647,2023-12-29,2026-07-30,2024-01-02,2026-07-31
JPM,Stock,Train,2897,2010-06-30,2021-12-30,2010-07-01,2021-12-31
JPM,Stock,Validation,501,2021-12-31,2023-12-28,2022-01-03,2023-12-29
JPM,Stock,Test,647,2023-12-29,2026-07-30,2024-01-02,2026-07-31
XOM,Stock,Train,2897,2010-06-30,2021-12-30,2010-07-01,2021-12-31
XOM,Stock,Validation,501,2021-12-31,2023-12-28,2022-01-03,2023-12-29
XOM,Stock,Test,647,2023-12-29,2026-07-30,2024-01-02,2026-07-31
JNJ,Stock,Train,2897,2010-06-30,2021-12-30,2010-07-01,2021-12-31
JNJ,Stock,Validation,501,2021-12-31,2023-12-28,2022-01-03,2023-12-29
JNJ,Stock,Test,647,2023-12-29,2026-07-30,2024-01-02,2026-07-31
WMT,Stock,Train,2897,2010-06-30,2021-12-30,2010-07-01,2021-12-31
WMT,Stock,Validation,501,2021-12-31,2023-12-28,2022-01-03,2023-12-29
WMT,Stock,Test,647,2023-12-29,2026-07-30,2024-01-02,2026-07-31
TSLA,Stock,Train,2897,2010-06-30,2021-12-30,2010-07-01,2021-12-31
TSLA,Stock,Validation,501,2021-12-31,2023-12-28,2022-01-03,2023-12-29
TSLA,Stock,Test,647,2023-12-29,2026-07-30,2024-01-02,2026-07-31
^GSPC,Benchmark,Train,2897,2010-06-30,2021-12-30,2010-07-01,2021-12-31
^GSPC,Benchmark,Validation,501,2021-12-31,2023-12-28,2022-01-03,2023-12-29
^GSPC,Benchmark,Test,647,2023-12-29,2026-07-30,2024-01-02,2026-07-31
