Date,Target_Date,Ticker,Asset,Role,Split,Log_Return,Squared_Return,Target_Squared_Return
2010-06-30,2010-07-01,^GSPC,S&P 500,Benchmark,Train,-1.016445397333528,1.033161245760514,0.1053465488580436
2010-07-01,2010-07-02,^GSPC,S&P 500,Benchmark,Train,-0.3245713309244112,0.1053465488580436,0.2183946888955229
2010-07-02,2010-07-06,^GSPC,S&P 500,Benchmark,Train,-0.4673271754301508,0.2183946888955229,0.2856609481206078
2010-07-06,2010-07-07,^GSPC,S&P 500,Benchmark,Train,0.5344725887457726,0.2856609481206078,9.51723919610408
2010-07-07,2010-07-08,^GSPC,S&P 500,Benchmark,Train,3.0850023008263836,9.51723919610408,0.8777169560322352
2010-07-08,2010-07-09,^GSPC,S&P 500,Benchmark,Train,0.936865495165787,0.8777169560322352,0.5152459943779872
2010-07-09,2010-07-12,^GSPC,S&P 500,Benchmark,Train,0.7178063766629461,0.5152459943779872,0.0053675200057142
2010-07-12,2010-07-13,^GSPC,S&P 500,Benchmark,Train,0.0732633605952817,0.0053675200057142,2.3292323321205486
2010-07-13,2010-07-14,^GSPC,S&P 500,Benchmark,Train,1.5261822735573063,2.3292323321205486,0.0002406955672553
2010-07-14,2010-07-15,^GSPC,S&P 500,Benchmark,Train,-0.0155143664793419,0.0002406955672553,0.014289538008046
2010-07-15,2010-07-16,^GSPC,S&P 500,Benchmark,Train,0.1195388556413606,0.014289538008046,8.551477677662254
2010-07-16,2010-07-19,^GSPC,S&P 500,Benchmark,Train,-2.924290970075012,8.551477677662254,0.355701260494162
2010-07-19,2010-07-20,^GSPC,S&P 500,Benchmark,Train,0.5964069587908596,0.355701260494162,1.288650471486454
2010-07-20,2010-07-21,^GSPC,S&P 500,Benchmark,Train,1.1351874168992775,1.288650471486454,1.664796565107287
2010-07-21,2010-07-22,^GSPC,S&P 500,Benchmark,Train,-1.2902699582286208,1.664796565107287,4.9567179545442395
2010-07-22,2010-07-23,^GSPC,S&P 500,Benchmark,Train,2.2263687822425644,4.9567179545442395,0.6701747543464778
2010-07-23,2010-07-26,^GSPC,S&P 500,Benchmark,Train,0.8186420184344789,0.6701747543464778,1.240530105822048
2010-07-26,2010-07-27,^GSPC,S&P 500,Benchmark,Train,1.113790871672976,1.240530105822048,0.0110230745419907
2010-07-27,2010-07-28,^GSPC,S&P 500,Benchmark,Train,-0.104990830751979,0.0110230745419907,0.4824736941205266
2010-07-28,2010-07-29,^GSPC,S&P 500,Benchmark,Train,-0.6946032638280119,0.4824736941205266,0.1736632445117852
2010-07-29,2010-07-30,^GSPC,S&P 500,Benchmark,Train,-0.4167292220516642,0.1736632445117852,4.031893925133052e-05
2010-07-30,2010-08-02,^GSPC,S&P 500,Benchmark,Train,0.006349719619899,4.031893925133052e-05,4.745221261599206
2010-08-02,2010-08-03,^GSPC,S&P 500,Benchmark,Train,2.178352878116676,4.745221261599206,0.2311585088213351
2010-08-03,2010-08-04,^GSPC,S&P 500,Benchmark,Train,-0.4807894641330393,0.2311585088213351,0.3639561768716755
2010-08-04,2010-08-05,^GSPC,S&P 500,Benchmark,Train,0.6032878060028029,0.3639561768716755,0.0161119825087556
2010-08-05,2010-08-06,^GSPC,S&P 500,Benchmark,Train,-0.1269329843214742,0.0161119825087556,0.1377089434092976
2010-08-06,2010-08-09,^GSPC,S&P 500,Benchmark,Train,-0.3710915566397296,0.1377089434092976,0.2989997661417454
2010-08-09,2010-08-10,^GSPC,S&P 500,Benchmark,Train,0.5468087107405527,0.2989997661417454,0.358235958783143
2010-08-10,2010-08-11,^GSPC,S&P 500,Benchmark,Train,-0.5985281603927614,0.358235958783143,8.17011098444305
2010-08-11,2010-08-12,^GSPC,S&P 500,Benchmark,Train,-2.8583405997961564,8.17011098444305,0.290873224621391
