Date,Target_Date,Ticker,Asset,Role,Split,Log_Return,Target_Squared_Return
2010-06-30,2010-07-01,JNJ,Johnson & Johnson,Stock,Train,-0.3042874083191663,0.0002868287495584
2010-07-01,2010-07-02,JNJ,Johnson & Johnson,Stock,Train,0.0169360192949363,0.0002853415248922
2010-07-02,2010-07-06,JNJ,Johnson & Johnson,Stock,Train,0.0168920550819671,0.0
2010-07-06,2010-07-07,JNJ,Johnson & Johnson,Stock,Train,0.0,6.5370029819515665
2010-07-07,2010-07-08,JNJ,Johnson & Johnson,Stock,Train,2.5567563399650672,1.5937018727918997
2010-07-08,2010-07-09,JNJ,Johnson & Johnson,Stock,Train,1.262419055936617,1.8989557509043145
2010-07-09,2010-07-12,JNJ,Johnson & Johnson,Stock,Train,-1.3780260341895991,0.2986976395414316
2010-07-12,2010-07-13,JNJ,Johnson & Johnson,Stock,Train,-0.5465323773953668,0.2308582650268136
2010-07-13,2010-07-14,JNJ,Johnson & Johnson,Stock,Train,0.4804771222720325,0.039249598894036
2010-07-14,2010-07-15,JNJ,Johnson & Johnson,Stock,Train,0.1981151152588718,0.354760077969307
2010-07-15,2010-07-16,JNJ,Johnson & Johnson,Stock,Train,-0.595617392265628,1.877185422046012
2010-07-16,2010-07-19,JNJ,Johnson & Johnson,Stock,Train,-1.370104164669976,0.0477465233542749
2010-07-19,2010-07-20,JNJ,Johnson & Johnson,Stock,Train,0.2185097786239209,2.808771194958345
2010-07-20,2010-07-21,JNJ,Johnson & Johnson,Stock,Train,-1.6759388995301543,6.3698983670008085
2010-07-21,2010-07-22,JNJ,Johnson & Johnson,Stock,Train,-2.5238657585142694,0.0307121185950851
2010-07-22,2010-07-23,JNJ,Johnson & Johnson,Stock,Train,-0.1752487335049391,1.1323881262429203
2010-07-23,2010-07-26,JNJ,Johnson & Johnson,Stock,Train,1.0641372685151669,0.0363506365187724
2010-07-26,2010-07-27,JNJ,Johnson & Johnson,Stock,Train,0.1906584289213894,0.3863409267819538
2010-07-27,2010-07-28,JNJ,Johnson & Johnson,Stock,Train,0.6215632926596887,0.2169641953325642
2010-07-28,2010-07-29,JNJ,Johnson & Johnson,Stock,Train,-0.4657941555371473,0.0
2010-07-29,2010-07-30,JNJ,Johnson & Johnson,Stock,Train,0.0,0.2012479690713987
2010-07-30,2010-08-02,JNJ,Johnson & Johnson,Stock,Train,0.4486066975329266,1.1635586778083216
2010-08-02,2010-08-03,JNJ,Johnson & Johnson,Stock,Train,1.078683770995152,1.1388347755823658
2010-08-03,2010-08-04,JNJ,Johnson & Johnson,Stock,Train,1.0671620193683646,0.4289975106122463
2010-08-04,2010-08-05,JNJ,Johnson & Johnson,Stock,Train,0.6549790153983914,0.0011197996861645
2010-08-05,2010-08-06,JNJ,Johnson & Johnson,Stock,Train,0.0334634081671994,0.1116502817902863
2010-08-06,2010-08-09,JNJ,Johnson & Johnson,Stock,Train,0.3341411105959372,0.022486662202418
2010-08-09,2010-08-10,JNJ,Johnson & Johnson,Stock,Train,0.1499555340840011,1.0770764659418228
2010-08-10,2010-08-11,JNJ,Johnson & Johnson,Stock,Train,-1.037822945372583,2.4876838899576863
2010-08-11,2010-08-12,JNJ,Johnson & Johnson,Stock,Train,-1.5772393255171158,0.0011656405419784
2010-08-12,2010-08-13,JNJ,Johnson & Johnson,Stock,Train,0.034141478321515,0.4022439192557909
2010-08-13,2010-08-16,JNJ,Johnson & Johnson,Stock,Train,-0.6342270250121725,0.0581214076553554
2010-08-16,2010-08-17,JNJ,Johnson & Johnson,Stock,Train,-0.2410838187339737,4.261969641713746
2010-08-17,2010-08-18,JNJ,Johnson & Johnson,Stock,Train,2.0644538361788927,0.0480656215606961
2010-08-18,2010-08-19,JNJ,Johnson & Johnson,Stock,Train,0.2192387318899106,1.1388347755823789
2010-08-19,2010-08-20,JNJ,Johnson & Johnson,Stock,Train,-1.0671620193683706,0.0011590339150304
2010-08-20,2010-08-23,JNJ,Johnson & Johnson,Stock,Train,0.0340445871619918,0.0488535410527425
2010-08-23,2010-08-24,JNJ,Johnson & Johnson,Stock,Train,0.2210283716013457,2.1656168831796823
2010-08-24,2010-08-25,JNJ,Johnson & Johnson,Stock,Train,-1.471603507463774,0.0026732642883171
2010-08-25,2010-08-26,JNJ,Johnson & Johnson,Stock,Train,-0.051703619682931,0.0966913891535899
2010-08-26,2010-08-27,JNJ,Johnson & Johnson,Stock,Train,-0.3109523904934482,0.3504962494791334
2010-08-27,2010-08-30,JNJ,Johnson & Johnson,Stock,Train,0.5920272371091835,0.2726654691804897
2010-08-30,2010-08-31,JNJ,Johnson & Johnson,Stock,Train,-0.5221737921233597,0.2399572168893748
2010-08-31,2010-09-01,JNJ,Johnson & Johnson,Stock,Train,-0.4898542812810508,4.852675687364284
2010-09-01,2010-09-02,JNJ,Johnson & Johnson,Stock,Train,2.2028789543150764,0.2997433460779174
2010-09-02,2010-09-03,JNJ,Johnson & Johnson,Stock,Train,0.547488215469445,0.2964213072561479
2010-09-03,2010-09-07,JNJ,Johnson & Johnson,Stock,Train,0.5444458717413035,0.1529339346235933
