Date,Target_Date,Ticker,Asset,Role,Split,Log_Return,Squared_Return,Target_Squared_Return
2010-06-30,2010-07-01,JPM,JPMorgan Chase,Stock,Train,-1.2217287986748973,1.4926212575116076,1.746633737426886
2010-07-01,2010-07-02,JPM,JPMorgan Chase,Stock,Train,-1.3216027154280845,1.746633737426886,0.4834616828915868
2010-07-02,2010-07-06,JPM,JPMorgan Chase,Stock,Train,-0.6953140893808976,0.4834616828915868,1.9206488322589128
2010-07-06,2010-07-07,JPM,JPMorgan Chase,Stock,Train,1.38587475345318,1.9206488322589128,23.894472342849003
2010-07-07,2010-07-08,JPM,JPMorgan Chase,Stock,Train,4.888197248766564,23.894472342849003,0.0006852624940621
2010-07-08,2010-07-09,JPM,JPMorgan Chase,Stock,Train,0.0261775188675729,0.0006852624940621,3.211477072470785
2010-07-09,2010-07-12,JPM,JPMorgan Chase,Stock,Train,1.7920594500380798,3.211477072470785,0.7591599829295914
2010-07-12,2010-07-13,JPM,JPMorgan Chase,Stock,Train,0.8712978726759244,0.7591599829295914,10.48912391240311
2010-07-13,2010-07-14,JPM,JPMorgan Chase,Stock,Train,3.238691697646306,10.48912391240311,0.1035145215995129
2010-07-14,2010-07-15,JPM,JPMorgan Chase,Stock,Train,-0.3217367271536046,0.1035145215995129,0.0741461119200892
2010-07-15,2010-07-16,JPM,JPMorgan Chase,Stock,Train,0.272297836789221,0.0741461119200892,13.507212828018822
2010-07-16,2010-07-19,JPM,JPMorgan Chase,Stock,Train,-3.675216024673764,13.507212828018822,0.0105047684164019
2010-07-19,2010-07-20,JPM,JPMorgan Chase,Stock,Train,0.1024927725081234,0.0105047684164019,2.2499861421906027
2010-07-20,2010-07-21,JPM,JPMorgan Chase,Stock,Train,1.4999953807230884,2.2499861421906027,9.61520485097348
2010-07-21,2010-07-22,JPM,JPMorgan Chase,Stock,Train,-3.1008393784544017,9.61520485097348,5.720608652700994
2010-07-22,2010-07-23,JPM,JPMorgan Chase,Stock,Train,2.3917793904750067,5.720608652700994,1.4700627969271896
