Date,Target_Date,Ticker,Asset,Role,Split,Log_Return,Squared_Return,Target_Squared_Return
2010-06-30,2010-07-01,TSLA,Tesla,Stock,Train,-0.2514637309907598,0.0632340080037932,66.78634918551579
2010-07-01,2010-07-02,TSLA,Tesla,Stock,Train,-8.172291550447511,66.78634918551579,180.3980758803286
2010-07-02,2010-07-06,TSLA,Tesla,Stock,Train,-13.431235083949971,180.3980758803286,307.89741466893315
2010-07-06,2010-07-07,TSLA,Tesla,Stock,Train,-17.547005860514584,307.89741466893315,3.775456001517602
2010-07-07,2010-07-08,TSLA,Tesla,Stock,Train,-1.9430532678024044,3.775456001517602,99.8059232713557
2010-07-08,2010-07-09,TSLA,Tesla,Stock,Train,9.990291450771378,99.8059232713557,0.1185013470150768
2010-07-09,2010-07-12,TSLA,Tesla,Stock,Train,-0.3442402460710787,0.1185013470150768,4.128889432371979
2010-07-12,2010-07-13,TSLA,Tesla,Stock,Train,-2.031966887617015,4.128889432371979,38.40109036683346
2010-07-13,2010-07-14,TSLA,Tesla,Stock,Train,6.196861331902906,38.40109036683346,80.24797486534564
2010-07-14,2010-07-15,TSLA,Tesla,Stock,Train,8.958123400877309,80.24797486534564,0.0633387084514334
2010-07-15,2010-07-16,TSLA,Tesla,Stock,Train,0.2516718268925495,0.0633387084514334,13.70028823395803
2010-07-16,2010-07-19,TSLA,Tesla,Stock,Train,3.7013900407763063,13.70028823395803,35.65572732958054
2010-07-19,2010-07-20,TSLA,Tesla,Stock,Train,5.971241690769228,35.65572732958054,58.25162842712041
2010-07-20,2010-07-21,TSLA,Tesla,Stock,Train,-7.632275442299001,58.25162842712041,0.1558975735823072
2010-07-21,2010-07-22,TSLA,Tesla,Stock,Train,-0.3948386677901586,0.1558975735823072,14.326353926910286
2010-07-22,2010-07-23,TSLA,Tesla,Stock,Train,3.7850170312576257,14.326353926910286,1.880960147200926
2010-07-23,2010-07-26,TSLA,Tesla,Stock,Train,1.3714810050456134,1.880960147200926,2.591566509578997
2010-07-26,2010-07-27,TSLA,Tesla,Stock,Train,-1.6098343112193243,2.591566509578997,3.716390943686727
2010-07-27,2010-07-28,TSLA,Tesla,Stock,Train,-1.927794320898038,3.716390943686727,0.6786838336953548
2010-07-28,2010-07-29,TSLA,Tesla,Stock,Train,0.8238226955451973,0.6786838336953548,3.246477111878059
2010-07-29,2010-07-30,TSLA,Tesla,Stock,Train,-1.8017982994436583,3.246477111878059,4.142736704236759
2010-07-30,2010-08-02,TSLA,Tesla,Stock,Train,-2.0353713922124284,4.142736704236759,23.019292469863345
2010-08-02,2010-08-03,TSLA,Tesla,Stock,Train,4.797842480726451,23.019292469863345,23.098616199616224
2010-08-03,2010-08-04,TSLA,Tesla,Stock,Train,4.806101975573991,23.098616199616224,10.20149320003265
2010-08-04,2010-08-05,TSLA,Tesla,Stock,Train,-3.1939776455123554,10.20149320003265,15.08896286425295
2010-08-05,2010-08-06,TSLA,Tesla,Stock,Train,-3.8844514238503423,15.08896286425295,18.458538045187954
2010-08-06,2010-08-09,TSLA,Tesla,Stock,Train,-4.296340075597828,18.458538045187954,0.0026068274381475
2010-08-09,2010-08-10,TSLA,Tesla,Stock,Train,0.0510570997819849,0.0026068274381475,8.710093892153367
2010-08-10,2010-08-11,TSLA,Tesla,Stock,Train,-2.951286819703122,8.710093892153367,37.47456435698063
2010-08-11,2010-08-12,TSLA,Tesla,Stock,Train,-6.121647193115643,37.47456435698063,2.856708054876283
2010-08-12,2010-08-13,TSLA,Tesla,Stock,Train,-1.690179888318484,2.856708054876283,16.075648223529146
2010-08-13,2010-08-16,TSLA,Tesla,Stock,Train,4.009444877227912,16.075648223529146,6.150075064689608
2010-08-16,2010-08-17,TSLA,Tesla,Stock,Train,2.479934487983424,6.150075064689608,3.806604928720065
2010-08-17,2010-08-18,TSLA,Tesla,Stock,Train,1.9510522619140844,3.806604928720065,4.01737602746698
2010-08-18,2010-08-19,TSLA,Tesla,Stock,Train,-2.004339299486736,4.01737602746698,0.0113519851621727
2010-08-19,2010-08-20,TSLA,Tesla,Stock,Train,0.1065456951836757,0.0113519851621727,2.6774766844876217
2010-08-20,2010-08-23,TSLA,Tesla,Stock,Train,1.636299692748129,2.6774766844876217,27.586874436920425
2010-08-23,2010-08-24,TSLA,Tesla,Stock,Train,5.252320861954306,27.586874436920425,22.373835277214145
2010-08-24,2010-08-25,TSLA,Tesla,Stock,Train,-4.73009886547989,22.373835277214145,12.823338624690592
2010-08-25,2010-08-26,TSLA,Tesla,Stock,Train,3.5809689505342814,12.823338624690592,0.572478592846318
2010-08-26,2010-08-27,TSLA,Tesla,Stock,Train,-0.7566231511434989,0.572478592846318,0.0642777883772248
2010-08-27,2010-08-30,TSLA,Tesla,Stock,Train,-0.2535306458344333,0.0642777883772248,0.7383763077755239
2010-08-30,2010-08-31,TSLA,Tesla,Stock,Train,0.8592882565097255,0.7383763077755239,3.929422613982511
2010-08-31,2010-09-01,TSLA,Tesla,Stock,Train,-1.982277128451648,3.929422613982511,23.613874132673697
2010-09-01,2010-09-02,TSLA,Tesla,Stock,Train,4.859410883293745,23.613874132673697,8.639431359584822
2010-09-02,2010-09-03,TSLA,Tesla,Stock,Train,2.939290962049321,8.639431359584822,0.0022586438711629
2010-09-03,2010-09-07,TSLA,Tesla,Stock,Train,-0.047525191963452,0.0022586438711629,6.015395845520977
2010-09-07,2010-09-08,TSLA,Tesla,Stock,Train,-2.452630393174026,6.015395845520977,3.018874158971037
2010-09-08,2010-09-09,TSLA,Tesla,Stock,Train,1.7374907651469798,3.018874158971037,0.8339331020791831
2010-09-09,2010-09-10,TSLA,Tesla,Stock,Train,-0.9131993769594804,0.8339331020791831,6.980337033702405
2010-09-10,2010-09-13,TSLA,Tesla,Stock,Train,-2.6420327465234803,6.980337033702405,7.237500407195333
2010-09-13,2010-09-14,TSLA,Tesla,Stock,Train,2.6902602861424643,7.237500407195333,3.656234268990398
2010-09-14,2010-09-15,TSLA,Tesla,Stock,Train,1.9121282041197964,3.656234268990398,15.929883217545395
2010-09-15,2010-09-16,TSLA,Tesla,Stock,Train,3.9912257788235177,15.929883217545395,23.49484950590327
2010-09-16,2010-09-17,TSLA,Tesla,Stock,Train,-4.847148595401555,23.49484950590327,11.89857281625248
2010-09-17,2010-09-20,TSLA,Tesla,Stock,Train,-3.449430795979603,11.89857281625248,16.16733175193877
2010-09-20,2010-09-21,TSLA,Tesla,Stock,Train,4.020862065768829,16.16733175193877,1.9225572928674048
2010-09-21,2010-09-22,TSLA,Tesla,Stock,Train,-1.3865631225686788,1.9225572928674048,19.623673744855665
2010-09-22,2010-09-23,TSLA,Tesla,Stock,Train,-4.429861594322746,19.623673744855665,2.472633853691112
