Feature,Model,Description
Return_Lag1,Random Forest,Daily log return at target lag 1
Return_Lag2,Random Forest,Daily log return at target lag 2
Return_Lag3,Random Forest,Daily log return at target lag 3
Return_Lag5,Random Forest,Daily log return at target lag 5
Return_Lag10,Random Forest,Daily log return at target lag 10
Return_Lag21,Random Forest,Daily log return at target lag 21
Squared_Return_Lag1,Random Forest,Squared daily return at target lag 1
Squared_Return_Lag2,Random Forest,Squared daily return at target lag 2
Squared_Return_Lag3,Random Forest,Squared daily return at target lag 3
Squared_Return_Lag5,Random Forest,Squared daily return at target lag 5
Squared_Return_Lag10,Random Forest,Squared daily return at target lag 10
Squared_Return_Lag21,Random Forest,Squared daily return at target lag 21
Rolling_Vol_5,Random Forest,Historical 5-trading-day standard deviation of log returns
Rolling_Vol_10,Random Forest,Historical 10-trading-day standard deviation of log returns
Rolling_Vol_21,Random Forest,Historical 21-trading-day standard deviation of log returns
Rolling_Vol_63,Random Forest,Historical 63-trading-day standard deviation of log returns
