Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume,Ticker,Asset
2010-06-29,31.380348205566406,57.290000915527344,0.0,58.09000015258789,57.0,58.0,0.0,52525000,XOM,Exxon Mobil
2010-06-30,31.259849548339844,57.06999969482422,0.0,57.72999954223633,56.91999816894531,57.33000183105469,0.0,43944900,XOM,Exxon Mobil
2010-07-01,31.00786781311035,56.61000061035156,0.0,57.27000045776367,56.16999816894531,56.97999954223633,0.0,47746400,XOM,Exxon Mobil
2010-07-02,30.985958099365234,56.56999969482422,0.0,56.9900016784668,55.939998626708984,56.849998474121094,0.0,32767900,XOM,Exxon Mobil
2010-07-06,31.473461151123047,57.459999084472656,0.0,57.59000015258789,56.77000045776367,57.16999816894531,0.0,36912100,XOM,Exxon Mobil
2010-07-07,32.004764556884766,58.43000030517578,0.0,58.45000076293945,57.2599983215332,57.369998931884766,0.0,41797200,XOM,Exxon Mobil
2010-07-08,32.21290969848633,58.810001373291016,0.0,59.20000076293945,58.130001068115234,59.130001068115234,0.0,40430300,XOM,Exxon Mobil
2010-07-09,32.19647979736328,58.779998779296875,0.0,59.0099983215332,58.29999923706055,58.7599983215332,0.0,25976500,XOM,Exxon Mobil
2010-07-12,32.28413772583008,58.939998626708984,0.0,58.939998626708984,58.20000076293945,58.290000915527344,0.0,23515000,XOM,Exxon Mobil
2010-07-13,32.54703903198242,59.41999816894531,0.0,59.720001220703125,59.040000915527344,59.599998474121094,0.0,30514200,XOM,Exxon Mobil
2010-07-14,32.459407806396484,59.2599983215332,0.0,59.34000015258789,58.619998931884766,59.220001220703125,0.0,26061100,XOM,Exxon Mobil
2010-07-15,32.46488571166992,59.27000045776367,0.0,59.4900016784668,58.59000015258789,59.36000061035156,0.0,24737300,XOM,Exxon Mobil
2010-07-16,31.747323989868164,57.959999084472656,0.0,59.11000061035156,57.810001373291016,58.84000015258789,0.0,35805700,XOM,Exxon Mobil
2010-07-19,32.004764556884766,58.43000030517578,0.0,58.7400016784668,58.099998474121094,58.33000183105469,0.0,20960000,XOM,Exxon Mobil
2010-07-20,32.28959655761719,58.95000076293945,0.0,58.9900016784668,57.66999816894531,57.68000030517578,0.0,23807300,XOM,Exxon Mobil
2010-07-21,31.862369537353516,58.16999816894531,0.0,59.130001068115234,57.599998474121094,59.130001068115234,0.0,26859700,XOM,Exxon Mobil
2010-07-22,32.52513885498047,59.380001068115234,0.0,59.790000915527344,58.65999984741211,58.709999084472656,0.0,27051400,XOM,Exxon Mobil
2010-07-23,32.711360931396484,59.720001220703125,0.0,59.810001373291016,58.79999923706055,59.2599983215332,0.0,19281400,XOM,Exxon Mobil
2010-07-26,33.07836151123047,60.38999938964844,0.0,60.439998626708984,59.630001068115234,59.70000076293945,0.0,20236500,XOM,Exxon Mobil
2010-07-27,33.308406829833984,60.810001373291016,0.0,60.900001525878906,60.38999938964844,60.619998931884766,0.0,22400800,XOM,Exxon Mobil
2010-07-28,33.363182067871094,60.90999984741211,0.0,61.27000045776367,60.72999954223633,60.72999954223633,0.0,23511100,XOM,Exxon Mobil
2010-07-29,33.050987243652344,60.34000015258789,0.0,61.880001068115234,60.290000915527344,61.41999816894531,0.0,33763000,XOM,Exxon Mobil
2010-07-30,32.68946075439453,59.68000030517578,0.0,60.5099983215332,59.599998474121094,60.150001525878906,0.0,29354600,XOM,Exxon Mobil
2010-08-02,33.92736053466797,61.939998626708984,0.0,62.040000915527344,60.61000061035156,60.63999938964844,0.0,28144000,XOM,Exxon Mobil
2010-08-03,34.3546142578125,62.720001220703125,0.0,62.9900016784668,61.880001068115234,61.97999954223633,0.0,31075800,XOM,Exxon Mobil
2010-08-04,34.3546142578125,62.720001220703125,0.0,62.88999938964844,62.27000045776367,62.86000061035156,0.0,21033800,XOM,Exxon Mobil
2010-08-05,34.3491325378418,62.709999084472656,0.0,62.709999084472656,61.849998474121094,62.279998779296875,0.0,19985300,XOM,Exxon Mobil
2010-08-06,33.943782806396484,61.970001220703125,0.0,62.5,61.25,61.91999816894531,0.0,23097300,XOM,Exxon Mobil
2010-08-09,34.20671463012695,62.45000076293945,0.0,62.66999816894531,62.18000030517578,62.560001373291016,0.0,14731300,XOM,Exxon Mobil
2010-08-10,33.92189025878906,61.93000030517578,0.0,62.16999816894531,61.45000076293945,61.849998474121094,0.0,23188500,XOM,Exxon Mobil
2010-08-11,33.31504440307617,60.38999938964844,0.44,60.65999984741211,60.20000076293945,60.54999923706055,0.0,24281300,XOM,Exxon Mobil
2010-08-12,33.226783752441406,60.22999954223633,0.0,60.560001373291016,59.560001373291016,59.70000076293945,0.0,16951300,XOM,Exxon Mobil
2010-08-13,33.05025100708008,59.90999984741211,0.0,60.45000076293945,59.79999923706055,59.959999084472656,0.0,14651300,XOM,Exxon Mobil
2010-08-16,33.033695220947266,59.880001068115234,0.0,60.25,59.25,59.599998474121094,0.0,14301100,XOM,Exxon Mobil
2010-08-17,33.552276611328125,60.81999969482422,0.0,61.15999984741211,60.13999938964844,60.4900016784668,0.0,20122200,XOM,Exxon Mobil
2010-08-18,33.182655334472656,60.150001525878906,0.0,60.720001220703125,59.630001068115234,60.66999816894531,0.0,20071500,XOM,Exxon Mobil
