Date,Target_Date,Ticker,Asset,Role,Split,Target_Squared_Return,Historical_Variance_Forecast
2021-12-31,2022-01-03,^GSPC,S&P 500,Benchmark,Validation,0.403710815882118,1.107353119721386
2022-01-03,2022-01-04,^GSPC,S&P 500,Benchmark,Validation,0.0039667355008539,1.0468991762301407
2022-01-04,2022-01-05,^GSPC,S&P 500,Benchmark,Validation,3.835042408199459,0.992118489717863
2022-01-05,2022-01-06,^GSPC,S&P 500,Benchmark,Validation,0.0092974670570341,1.173987361376905
2022-01-06,2022-01-07,^GSPC,S&P 500,Benchmark,Validation,0.1647094401879675,0.9774079475678977
2022-01-07,2022-01-10,^GSPC,S&P 500,Benchmark,Validation,0.0207956743523772,0.9803590064492459
2022-01-10,2022-01-11,^GSPC,S&P 500,Benchmark,Validation,0.8314314782800996,0.9560527658271756
2022-01-11,2022-01-12,^GSPC,S&P 500,Benchmark,Validation,0.0791742550180416,0.9524711532381556
2022-01-12,2022-01-13,^GSPC,S&P 500,Benchmark,Validation,2.0580855479427473,0.9107593868626216
2022-01-13,2022-01-14,^GSPC,S&P 500,Benchmark,Validation,0.0067181672867265,0.9884146761922071
2022-01-14,2022-01-18,^GSPC,S&P 500,Benchmark,Validation,3.4444039317438824,0.8555579696931211
2022-01-18,2022-01-19,^GSPC,S&P 500,Benchmark,Validation,0.9480509783770132,0.9822721163243211
2022-01-19,2022-01-20,^GSPC,S&P 500,Benchmark,Validation,1.2318208073794068,0.9767680349795231
2022-01-20,2022-01-21,^GSPC,S&P 500,Benchmark,Validation,3.646570374384981,0.9730902094175129
2022-01-21,2022-01-24,^GSPC,S&P 500,Benchmark,Validation,0.0766129675085103,0.9351013611343924
2022-01-24,2022-01-25,^GSPC,S&P 500,Benchmark,Validation,1.49978980267526,0.866869883831811
2022-01-25,2022-01-26,^GSPC,S&P 500,Benchmark,Validation,0.0224327580903845,0.8592181373570045
2022-01-26,2022-01-27,^GSPC,S&P 500,Benchmark,Validation,0.2914526202236509,0.7012954378754678
2022-01-27,2022-01-28,^GSPC,S&P 500,Benchmark,Validation,5.786895923148412,0.6947102783340164
2022-01-28,2022-01-31,^GSPC,S&P 500,Benchmark,Validation,3.5005759729427637,1.0798210746838093
2022-01-31,2022-02-01,^GSPC,S&P 500,Benchmark,Validation,0.4677958575827107,1.320130096254476
2022-02-01,2022-02-02,^GSPC,S&P 500,Benchmark,Validation,0.8795439496913232,1.3634708213302313
2022-02-02,2022-02-03,^GSPC,S&P 500,Benchmark,Validation,6.097675455923985,1.3938396901264234
2022-02-03,2022-02-04,^GSPC,S&P 500,Benchmark,Validation,0.264574278927179,1.6341423463954285
2022-02-04,2022-02-07,^GSPC,S&P 500,Benchmark,Validation,0.1375357249825321,1.5213858647932548
2022-02-07,2022-02-08,^GSPC,S&P 500,Benchmark,Validation,0.6999185453660028,1.5219349404911742
2022-02-08,2022-02-09,^GSPC,S&P 500,Benchmark,Validation,2.0773001680182563,1.5723747460591972
