Date,Target_Date,Ticker,Asset,Role,Split,Target_Squared_Return,Historical_Variance_Forecast
2021-12-31,2022-01-03,JNJ,Johnson & Johnson,Stock,Validation,0.0752694224932861,1.0930731830872253
2022-01-03,2022-01-04,JNJ,Johnson & Johnson,Stock,Validation,0.0721044393967839,1.0412194962196721
2022-01-04,2022-01-05,JNJ,Johnson & Johnson,Stock,Validation,0.441079664181517,1.004986848317327
2022-01-05,2022-01-06,JNJ,Johnson & Johnson,Stock,Validation,0.1177585770274643,0.829475449976421
2022-01-06,2022-01-07,JNJ,Johnson & Johnson,Stock,Validation,1.8028091550795564,0.8470324699366346
2022-01-07,2022-01-10,JNJ,Johnson & Johnson,Stock,Validation,0.2456280868556808,0.9004564692558874
2022-01-10,2022-01-11,JNJ,Johnson & Johnson,Stock,Validation,1.142194688925063,0.9021489245420093
2022-01-11,2022-01-12,JNJ,Johnson & Johnson,Stock,Validation,0.7330762178294087,0.9711844616468307
2022-01-12,2022-01-13,JNJ,Johnson & Johnson,Stock,Validation,0.3702472314035335,0.8770737783763405
2022-01-13,2022-01-14,JNJ,Johnson & Johnson,Stock,Validation,0.2988728364876719,0.8361280214563575
2022-01-14,2022-01-18,JNJ,Johnson & Johnson,Stock,Validation,0.1952311780051789,0.8315873180952673
2022-01-18,2022-01-19,JNJ,Johnson & Johnson,Stock,Validation,0.0971307195349246,0.7625641824225213
2022-01-19,2022-01-20,JNJ,Johnson & Johnson,Stock,Validation,0.642570383500217,0.4013827893005498
2022-01-20,2022-01-21,JNJ,Johnson & Johnson,Stock,Validation,0.0530080224255393,0.42637448226749763
2022-01-21,2022-01-24,JNJ,Johnson & Johnson,Stock,Validation,1.3435792653978116,0.4244660717794444
2022-01-24,2022-01-25,JNJ,Johnson & Johnson,Stock,Validation,7.948669379283072,0.4657420340130535
2022-01-25,2022-01-26,JNJ,Johnson & Johnson,Stock,Validation,0.1992543385500386,0.8824403818547937
2022-01-26,2022-01-27,JNJ,Johnson & Johnson,Stock,Validation,1.700370460433945,0.856023673220552
2022-01-27,2022-01-28,JNJ,Johnson & Johnson,Stock,Validation,0.4913464632442745,0.9343819888734369
2022-01-28,2022-01-31,JNJ,Johnson & Johnson,Stock,Validation,0.0844676704116909,0.9343129198170936
2022-01-31,2022-02-01,JNJ,Johnson & Johnson,Stock,Validation,0.6752558738695001,0.9288129696739802
2022-02-01,2022-02-02,JNJ,Johnson & Johnson,Stock,Validation,1.2099681566856926,0.936466794047084
2022-02-02,2022-02-03,JNJ,Johnson & Johnson,Stock,Validation,3.344360781866395e-05,0.9920156637690238
2022-02-03,2022-02-04,JNJ,Johnson & Johnson,Stock,Validation,0.4306693476336645,0.9873538201872201
2022-02-04,2022-02-07,JNJ,Johnson & Johnson,Stock,Validation,0.110662197983587,0.9888266972452303
2022-02-07,2022-02-08,JNJ,Johnson & Johnson,Stock,Validation,0.0690264386941267,0.9884887744336173
2022-02-08,2022-02-09,JNJ,Johnson & Johnson,Stock,Validation,0.0001359909752633,0.8973119560419182
2022-02-09,2022-02-10,JNJ,Johnson & Johnson,Stock,Validation,1.4748087888820758,0.8877351133181604
2022-02-10,2022-02-11,JNJ,Johnson & Johnson,Stock,Validation,1.0291602171828758,0.9036710461349504
2022-02-11,2022-02-14,JNJ,Johnson & Johnson,Stock,Validation,1.6029834350004877,0.9176058621169652
2022-02-14,2022-02-15,JNJ,Johnson & Johnson,Stock,Validation,1.0554171880288334,0.9743530753042314
2022-02-15,2022-02-16,JNJ,Johnson & Johnson,Stock,Validation,0.0035780475066149,1.020449376753216
2022-02-16,2022-02-17,JNJ,Johnson & Johnson,Stock,Validation,0.3743779811314486,1.0110944761533738
2022-02-17,2022-02-18,JNJ,Johnson & Johnson,Stock,Validation,1.1613911284398577,1.024836353513987
2022-02-18,2022-02-22,JNJ,Johnson & Johnson,Stock,Validation,1.8721983245591591,1.0502877910676447
2022-02-22,2022-02-23,JNJ,Johnson & Johnson,Stock,Validation,0.0024627647867595,1.13539728802683
2022-02-23,2022-02-24,JNJ,Johnson & Johnson,Stock,Validation,3.7206716940390754,1.0743514483903396
2022-02-24,2022-02-25,JNJ,Johnson & Johnson,Stock,Validation,23.529255388384257,0.7993279687645055
2022-02-25,2022-02-28,JNJ,Johnson & Johnson,Stock,Validation,0.7485189086851114,2.028449786194095
2022-02-28,2022-03-01,JNJ,Johnson & Johnson,Stock,Validation,0.1203855304116778,1.9615594581718294
2022-03-01,2022-03-02,JNJ,Johnson & Johnson,Stock,Validation,1.528267058824546,1.9256617587636047
2022-03-02,2022-03-03,JNJ,Johnson & Johnson,Stock,Validation,2.128178530729166,2.0137375840882346
2022-03-03,2022-03-04,JNJ,Johnson & Johnson,Stock,Validation,0.350242839928939,2.107178972614687
2022-03-04,2022-03-07,JNJ,Johnson & Johnson,Stock,Validation,2.553400496792374,2.061703440216916
2022-03-07,2022-03-08,JNJ,Johnson & Johnson,Stock,Validation,4.19168909129195,2.1930443484943964
2022-03-08,2022-03-09,JNJ,Johnson & Johnson,Stock,Validation,0.1433080441329022,2.3786138711546934
2022-03-09,2022-03-10,JNJ,Johnson & Johnson,Stock,Validation,0.0313313654391595,2.3826661493855936
2022-03-10,2022-03-11,JNJ,Johnson & Johnson,Stock,Validation,0.033448348486016,2.380617383086963
2022-03-11,2022-03-14,JNJ,Johnson & Johnson,Stock,Validation,1.883211060574542,2.3818506364496494
2022-03-14,2022-03-15,JNJ,Johnson & Johnson,Stock,Validation,6.547632627630092,2.393925791111531
2022-03-15,2022-03-16,JNJ,Johnson & Johnson,Stock,Validation,0.8536848144070904,2.6059128527391655
2022-03-16,2022-03-17,JNJ,Johnson & Johnson,Stock,Validation,1.6847261722051043,2.559136498369928
2022-03-17,2022-03-18,JNJ,Johnson & Johnson,Stock,Validation,1.242749059546385,2.582841678753015
2022-03-18,2022-03-21,JNJ,Johnson & Johnson,Stock,Validation,0.3188315135367249,2.6730806269564367
2022-03-21,2022-03-22,JNJ,Johnson & Johnson,Stock,Validation,0.2238953140035344,2.6384241571361766
2022-03-22,2022-03-23,JNJ,Johnson & Johnson,Stock,Validation,0.1427586283399533,2.572606213613758
2022-03-23,2022-03-24,JNJ,Johnson & Johnson,Stock,Validation,0.2651028936021402,2.4513355480962464
