Date,Target_Date,Ticker,Asset,Role,Split,Target_Squared_Return,Historical_Variance_Forecast
2021-12-31,2022-01-03,JPM,JPMorgan Chase,Stock,Validation,4.382836230709314,1.449792840858899
2022-01-03,2022-01-04,JPM,JPMorgan Chase,Stock,Validation,13.84476500360468,1.4524005362682841
2022-01-04,2022-01-05,JPM,JPMorgan Chase,Stock,Validation,3.4044120633026953,1.8962447460952803
2022-01-05,2022-01-06,JPM,JPMorgan Chase,Stock,Validation,1.116857380932182,2.05993604798473
2022-01-06,2022-01-07,JPM,JPMorgan Chase,Stock,Validation,0.9720052247854878,2.0096827509501347
2022-01-07,2022-01-10,JPM,JPMorgan Chase,Stock,Validation,0.0091504716194507,1.9568266634992502
2022-01-10,2022-01-11,JPM,JPMorgan Chase,Stock,Validation,0.0103134294724992,1.9504972743046962
2022-01-11,2022-01-12,JPM,JPMorgan Chase,Stock,Validation,0.3199298408480522,1.9310115493526951
2022-01-12,2022-01-13,JPM,JPMorgan Chase,Stock,Validation,0.0155715300434031,1.8237655869533267
2022-01-13,2022-01-14,JPM,JPMorgan Chase,Stock,Validation,40.23798237458941,1.8233366217355964
2022-01-14,2022-01-18,JPM,JPMorgan Chase,Stock,Validation,18.345841452620633,3.8966106797796023
2022-01-18,2022-01-19,JPM,JPMorgan Chase,Stock,Validation,2.430555910848042,4.628162947696028
2022-01-19,2022-01-20,JPM,JPMorgan Chase,Stock,Validation,0.7333772573547607,4.502115020223736
2022-01-20,2022-01-21,JPM,JPMorgan Chase,Stock,Validation,3.10717557745557,4.392499268642267
2022-01-21,2022-01-24,JPM,JPMorgan Chase,Stock,Validation,0.008037537783373,4.374547662812259
2022-01-24,2022-01-25,JPM,JPMorgan Chase,Stock,Validation,1.175420301755911,4.351450476322631
2022-01-25,2022-01-26,JPM,JPMorgan Chase,Stock,Validation,0.8913793026273222,4.427528611910757
2022-01-26,2022-01-27,JPM,JPMorgan Chase,Stock,Validation,3.1692062610535636,4.466987377927895
2022-01-27,2022-01-28,JPM,JPMorgan Chase,Stock,Validation,0.7932649613741808,4.550048829781326
2022-01-28,2022-01-31,JPM,JPMorgan Chase,Stock,Validation,1.8176817372702432,4.6241312630836955
2022-01-31,2022-02-01,JPM,JPMorgan Chase,Stock,Validation,2.89497006978952,4.758438300562534
2022-02-01,2022-02-02,JPM,JPMorgan Chase,Stock,Validation,0.6460120379477036,4.94486976677953
2022-02-02,2022-02-03,JPM,JPMorgan Chase,Stock,Validation,0.6896245781434174,4.6820854345673215
2022-02-03,2022-02-04,JPM,JPMorgan Chase,Stock,Validation,6.567449866731452,3.8243145130449285
