Date,Target_Date,Ticker,Asset,Role,Split,Target_Squared_Return,Historical_Variance_Forecast
2021-12-31,2022-01-03,TSLA,Tesla,Stock,Validation,161.06561555806655,14.350459581284648
2022-01-03,2022-01-04,TSLA,Tesla,Stock,Validation,18.260988878536185,22.145727781074694
2022-01-04,2022-01-05,TSLA,Tesla,Stock,Validation,30.199306144586597,20.73067348596223
2022-01-05,2022-01-06,TSLA,Tesla,Stock,Validation,4.73427093326458,22.4569695438489
2022-01-06,2022-01-07,TSLA,Tesla,Stock,Validation,13.024916332291614,21.965235876086915
2022-01-07,2022-01-10,TSLA,Tesla,Stock,Validation,8.93456382553495,22.45007462508999
2022-01-10,2022-01-11,TSLA,Tesla,Stock,Validation,0.3501659057114304,20.891137505947334
2022-01-11,2022-01-12,TSLA,Tesla,Stock,Validation,14.851424616015152,20.83970498052312
2022-01-12,2022-01-13,TSLA,Tesla,Stock,Validation,48.827328906977925,19.893703147585704
2022-01-13,2022-01-14,TSLA,Tesla,Stock,Validation,3.008988230830126,22.607615131846515
2022-01-14,2022-01-18,TSLA,Tesla,Stock,Validation,3.3726762202124796,22.59728632541188
2022-01-18,2022-01-19,TSLA,Tesla,Stock,Validation,11.842752236723468,21.294095966887095
2022-01-19,2022-01-20,TSLA,Tesla,Stock,Validation,0.0038751880376647,22.033001375832278
2022-01-20,2022-01-21,TSLA,Tesla,Stock,Validation,29.157918113753787,21.25472951050816
2022-01-21,2022-01-24,TSLA,Tesla,Stock,Validation,2.2009608713712394,22.076622354538618
2022-01-24,2022-01-25,TSLA,Tesla,Stock,Validation,1.5754183987432873,19.418099938628433
2022-01-25,2022-01-26,TSLA,Tesla,Stock,Validation,4.197474175109002,17.549993515567923
2022-01-26,2022-01-27,TSLA,Tesla,Stock,Validation,150.74922177291003,17.416761422227644
2022-01-27,2022-01-28,TSLA,Tesla,Stock,Validation,4.240391276295731,23.745458299884493
2022-01-28,2022-01-31,TSLA,Tesla,Stock,Validation,102.92384008989816,24.237103022027263
2022-01-31,2022-02-01,TSLA,Tesla,Stock,Validation,0.3430027122639736,30.334014473803062
2022-02-01,2022-02-02,TSLA,Tesla,Stock,Validation,7.7639173523848655,30.312525396633966
2022-02-02,2022-02-03,TSLA,Tesla,Stock,Validation,2.612233636499871,21.145073385734023
2022-02-03,2022-02-04,TSLA,Tesla,Stock,Validation,12.58432120006175,20.701655010462325
