Date,Target_Date,Ticker,Asset,Role,Split,Target_Squared_Return,Historical_Variance_Forecast
2021-12-31,2022-01-03,XOM,Exxon Mobil,Stock,Validation,14.202351603735382,1.5378896370933097
2022-01-03,2022-01-04,XOM,Exxon Mobil,Stock,Validation,13.633686627311835,1.9265848811266018
2022-01-04,2022-01-05,XOM,Exxon Mobil,Stock,Validation,1.527876986524206,2.468543815611992
2022-01-05,2022-01-06,XOM,Exxon Mobil,Stock,Validation,5.404937875964892,2.4772864867521567
2022-01-06,2022-01-07,XOM,Exxon Mobil,Stock,Validation,0.666330173017594,2.635490608735508
2022-01-07,2022-01-10,XOM,Exxon Mobil,Stock,Validation,0.3564022943690518,2.640680601245011
2022-01-10,2022-01-11,XOM,Exxon Mobil,Stock,Validation,16.975599171989945,2.6932956684315026
2022-01-11,2022-01-12,XOM,Exxon Mobil,Stock,Validation,0.0868647381058131,3.3445015749572335
2022-01-12,2022-01-13,XOM,Exxon Mobil,Stock,Validation,0.517646077667468,2.981234952197055
2022-01-13,2022-01-14,XOM,Exxon Mobil,Stock,Validation,3.028922988327281,3.044445064960447
2022-01-14,2022-01-18,XOM,Exxon Mobil,Stock,Validation,2.7874288298908434,3.0318894491747734
2022-01-18,2022-01-19,XOM,Exxon Mobil,Stock,Validation,0.0016855069153373,3.050057240406161
2022-01-19,2022-01-20,XOM,Exxon Mobil,Stock,Validation,0.047787899273386,2.6074111508774003
2022-01-20,2022-01-21,XOM,Exxon Mobil,Stock,Validation,2.2881173524065312,2.3389774928618627
2022-01-21,2022-01-24,XOM,Exxon Mobil,Stock,Validation,0.7316781398671716,2.551250008435516
2022-01-24,2022-01-25,XOM,Exxon Mobil,Stock,Validation,8.396084205911736,2.5512009931071393
2022-01-25,2022-01-26,XOM,Exxon Mobil,Stock,Validation,1.039321048824838,2.7116633171160225
2022-01-26,2022-01-27,XOM,Exxon Mobil,Stock,Validation,1.6198502729424915,2.887428692845952
2022-01-27,2022-01-28,XOM,Exxon Mobil,Stock,Validation,0.0452598370115403,2.81951838734058
2022-01-28,2022-01-31,XOM,Exxon Mobil,Stock,Validation,0.80861951821773,2.677878229719348
