Ticker,Asset,Role,Metric,Model,Value,Rank
AAPL,Apple,Stock,RMSE,GARCH,10.136369191581576,1
AAPL,Apple,Stock,RMSE,LSTM,10.37293832821979,2
AAPL,Apple,Stock,RMSE,Historical Variance,10.628534485148247,3
AAPL,Apple,Stock,RMSE,Random Forest,12.00343362440542,4
AAPL,Apple,Stock,MAE,LSTM,3.316598773394222,1
AAPL,Apple,Stock,MAE,GARCH,3.646409671609719,2
AAPL,Apple,Stock,MAE,Historical Variance,3.7518677928346986,3
AAPL,Apple,Stock,MAE,Random Forest,4.282309731682902,4
AAPL,Apple,Stock,QLIKE,GARCH,2.0019045795495973,1
AAPL,Apple,Stock,QLIKE,LSTM,2.074271358972069,2
AAPL,Apple,Stock,QLIKE,Random Forest,2.079554300903126,3
AAPL,Apple,Stock,QLIKE,Historical Variance,2.1626450534552206,4
JNJ,Johnson & Johnson,Stock,RMSE,GARCH,3.5263567736336485,1
JNJ,Johnson & Johnson,Stock,RMSE,LSTM,3.5400840190842797,2
JNJ,Johnson & Johnson,Stock,RMSE,Random Forest,3.5441152824818425,3
JNJ,Johnson & Johnson,Stock,RMSE,Historical Variance,3.600787957024711,4
JNJ,Johnson & Johnson,Stock,MAE,LSTM,1.3487348332571087,1
JNJ,Johnson & Johnson,Stock,MAE,GARCH,1.4068993103344378,2
JNJ,Johnson & Johnson,Stock,MAE,Random Forest,1.4102955676625744,3
JNJ,Johnson & Johnson,Stock,MAE,Historical Variance,1.4922881122227314,4
JNJ,Johnson & Johnson,Stock,QLIKE,Random Forest,1.2820129794502266,1
JNJ,Johnson & Johnson,Stock,QLIKE,GARCH,1.2902120208735126,2
JNJ,Johnson & Johnson,Stock,QLIKE,LSTM,1.3120556496338034,3
JNJ,Johnson & Johnson,Stock,QLIKE,Historical Variance,1.3906303704670988,4
JPM,JPMorgan Chase,Stock,RMSE,LSTM,7.021542996472359,1
JPM,JPMorgan Chase,Stock,RMSE,GARCH,7.044064678615176,2
JPM,JPMorgan Chase,Stock,RMSE,Random Forest,7.08942962347367,3
JPM,JPMorgan Chase,Stock,RMSE,Historical Variance,7.217674109839922,4
JPM,JPMorgan Chase,Stock,MAE,LSTM,2.3526666889422567,1
JPM,JPMorgan Chase,Stock,MAE,GARCH,2.73835230321987,2
JPM,JPMorgan Chase,Stock,MAE,Random Forest,2.7496215371023935,3
JPM,JPMorgan Chase,Stock,MAE,Historical Variance,2.828832599059572,4
JPM,JPMorgan Chase,Stock,QLIKE,Random Forest,1.8419772813034336,1
JPM,JPMorgan Chase,Stock,QLIKE,LSTM,1.8457373249978872,2
JPM,JPMorgan Chase,Stock,QLIKE,GARCH,1.8624348384044023,3
JPM,JPMorgan Chase,Stock,QLIKE,Historical Variance,1.989531238214125,4
TSLA,Tesla,Stock,RMSE,GARCH,34.57791524757354,1
TSLA,Tesla,Stock,RMSE,LSTM,34.94693358858829,2
TSLA,Tesla,Stock,RMSE,Historical Variance,35.16636370735065,3
TSLA,Tesla,Stock,RMSE,Random Forest,37.03918183122188,4
TSLA,Tesla,Stock,MAE,LSTM,13.84630617317005,1
TSLA,Tesla,Stock,MAE,GARCH,14.824033853515969,2
TSLA,Tesla,Stock,MAE,Historical Variance,15.566080737100672,3
TSLA,Tesla,Stock,MAE,Random Forest,15.706857747282418,4
TSLA,Tesla,Stock,QLIKE,GARCH,3.6142817411834627,1
TSLA,Tesla,Stock,QLIKE,Random Forest,3.6555593887072257,2
TSLA,Tesla,Stock,QLIKE,LSTM,3.698278624177137,3
TSLA,Tesla,Stock,QLIKE,Historical Variance,3.736281650096755,4
WMT,Walmart,Stock,RMSE,GARCH,5.832592855929995,1
WMT,Walmart,Stock,RMSE,LSTM,5.845461122764408,2
WMT,Walmart,Stock,RMSE,Historical Variance,5.937507834176099,3
WMT,Walmart,Stock,RMSE,Random Forest,6.206770074199725,4
WMT,Walmart,Stock,MAE,LSTM,2.030647411099278,1
WMT,Walmart,Stock,MAE,GARCH,2.2379791472946198,2
WMT,Walmart,Stock,MAE,Historical Variance,2.4092829765334742,3
WMT,Walmart,Stock,MAE,Random Forest,2.5769368205712744,4
WMT,Walmart,Stock,QLIKE,GARCH,1.7337850218180075,1
WMT,Walmart,Stock,QLIKE,LSTM,1.8055701776774207,2
WMT,Walmart,Stock,QLIKE,Random Forest,1.863368772353499,3
WMT,Walmart,Stock,QLIKE,Historical Variance,1.9687584969076513,4
XOM,Exxon Mobil,Stock,RMSE,GARCH,4.139456859828907,1
XOM,Exxon Mobil,Stock,RMSE,Historical Variance,4.227593604796811,2
XOM,Exxon Mobil,Stock,RMSE,LSTM,4.265969720390943,3
XOM,Exxon Mobil,Stock,RMSE,Random Forest,4.286490240995506,4
