Ticker,Asset,Role,Loss_Function,Model_1,Model_2,Observations,Mean_Loss_Model_1,Mean_Loss_Model_2,Mean_Loss_Difference,DM_Statistic,Raw_p_value,Lower_Mean_Loss_Model,Holm_Adjusted_p,Significant_Raw_5pct,Significant_Holm_5pct,Preferred_Model_if_Holm_Significant
AAPL,Apple,Stock,QLIKE,Historical Variance,GARCH,647,2.1626450534552206,2.0019045795495973,0.16074047390562388,2.5316988641751537,0.011587082651314964,GARCH,0.06952249590788978,True,False,No significant difference
AAPL,Apple,Stock,QLIKE,Historical Variance,Random Forest,647,2.1626450534552206,2.079554300903126,0.08309075255209514,0.9505900730833107,0.34216801037465683,Random Forest,1.0,False,False,No significant difference
AAPL,Apple,Stock,QLIKE,Historical Variance,LSTM,647,2.1626450534552206,2.074271358972069,0.08837369448315201,0.9609665922348827,0.33692850689522946,LSTM,1.0,False,False,No significant difference
AAPL,Apple,Stock,QLIKE,GARCH,Random Forest,647,2.0019045795495973,2.079554300903126,-0.07764972135352871,-1.983188369494098,0.04776942035355713,GARCH,0.23884710176778565,True,False,No significant difference
AAPL,Apple,Stock,QLIKE,GARCH,LSTM,647,2.0019045795495973,2.074271358972069,-0.07236677942247187,-1.2151646057702117,0.22474724939065968,GARCH,0.8989889975626387,False,False,No significant difference
AAPL,Apple,Stock,QLIKE,Random Forest,LSTM,647,2.079554300903126,2.074271358972069,0.005282941931056835,0.10865687062812499,0.9135083921505412,LSTM,1.0,False,False,No significant difference
AAPL,Apple,Stock,Squared_Error,Historical Variance,GARCH,647,112.9657453019855,102.74598038804413,10.219764913941372,2.4931268436000202,0.012911565623957538,GARCH,0.06455782811978769,True,False,No significant difference
AAPL,Apple,Stock,Squared_Error,Historical Variance,Random Forest,647,112.9657453019855,144.0824187755066,-31.11667347352109,-1.9825115215432003,0.04784523910510612,Historical Variance,0.14353571731531836,True,False,No significant difference
AAPL,Apple,Stock,Squared_Error,Historical Variance,LSTM,647,112.9657453019855,107.59784956105116,5.367895740934352,1.272671889743006,0.2035923470979391,LSTM,0.4071846941958782,False,False,No significant difference
AAPL,Apple,Stock,Squared_Error,GARCH,Random Forest,647,102.74598038804413,144.0824187755066,-41.33643838746246,-2.6260450683470427,0.008843008794387118,GARCH,0.05305805276632271,True,False,No significant difference
AAPL,Apple,Stock,Squared_Error,GARCH,LSTM,647,102.74598038804413,107.59784956105116,-4.851869173007023,-0.6974218865603818,0.48578972600480946,GARCH,0.48578972600480946,False,False,No significant difference
AAPL,Apple,Stock,Squared_Error,Random Forest,LSTM,647,144.0824187755066,107.59784956105116,36.48456921445545,2.2721625046366123,0.02340455172512684,LSTM,0.09361820690050736,True,False,No significant difference
AAPL,Apple,Stock,Absolute_Error,Historical Variance,GARCH,647,3.7518677928346986,3.646409671609719,0.10545812122497984,1.395789729037946,0.16325735155453586,GARCH,0.16325735155453586,False,False,No significant difference
AAPL,Apple,Stock,Absolute_Error,Historical Variance,Random Forest,647,3.7518677928346986,4.282309731682902,-0.530441938848204,-2.5958916661611044,0.009649041644206683,Historical Variance,0.019298083288413367,True,True,Historical Variance
AAPL,Apple,Stock,Absolute_Error,Historical Variance,LSTM,647,3.7518677928346986,3.316598773394222,0.43526901944047725,3.7071105696497355,0.00022763244727581704,LSTM,0.0009105297891032682,True,True,LSTM
AAPL,Apple,Stock,Absolute_Error,GARCH,Random Forest,647,3.646409671609719,4.282309731682902,-0.6359000600731838,-3.495080778890483,0.0005063370577436827,GARCH,0.0015190111732310482,True,True,GARCH
AAPL,Apple,Stock,Absolute_Error,GARCH,LSTM,647,3.646409671609719,3.316598773394222,0.32981089821549747,3.906672126248335,0.00010343537629943163,LSTM,0.0005171768814971581,True,True,LSTM
AAPL,Apple,Stock,Absolute_Error,Random Forest,LSTM,647,4.282309731682902,3.316598773394222,0.9657109582886813,4.326036575888766,1.7585483687650674e-05,LSTM,0.00010551290212590405,True,True,LSTM
JNJ,Johnson & Johnson,Stock,QLIKE,Historical Variance,GARCH,647,1.3906303704670988,1.2902120208735126,0.10041834959358632,2.7927402131804606,0.005381081838970852,GARCH,0.03228649103382511,True,True,GARCH
JNJ,Johnson & Johnson,Stock,QLIKE,Historical Variance,Random Forest,647,1.3906303704670988,1.2820129794502266,0.10861739101687222,1.891536023206082,0.05899988066775965,Random Forest,0.29499940333879826,False,False,No significant difference
JNJ,Johnson & Johnson,Stock,QLIKE,Historical Variance,LSTM,647,1.3906303704670988,1.3120556496338034,0.07857472083329542,1.6812079428392632,0.0932058890679013,LSTM,0.3728235562716052,False,False,No significant difference
JNJ,Johnson & Johnson,Stock,QLIKE,GARCH,Random Forest,647,1.2902120208735126,1.2820129794502266,0.008199041423285881,0.2921820942130574,0.7702412118138628,Random Forest,1.0,False,False,No significant difference
JNJ,Johnson & Johnson,Stock,QLIKE,GARCH,LSTM,647,1.2902120208735126,1.3120556496338034,-0.02184362876029093,-0.8513584935570296,0.3948857138773628,GARCH,1.0,False,False,No significant difference
JNJ,Johnson & Johnson,Stock,QLIKE,Random Forest,LSTM,647,1.2820129794502266,1.3120556496338034,-0.03004267018357682,-0.9138193482544673,0.36115271166234014,Random Forest,1.0,False,False,No significant difference
JNJ,Johnson & Johnson,Stock,Squared_Error,Historical Variance,GARCH,647,12.965673911454191,12.435192094951915,0.5304818165022773,3.0396753559737615,0.002464069213301177,GARCH,0.014784415279807062,True,True,GARCH
JNJ,Johnson & Johnson,Stock,Squared_Error,Historical Variance,Random Forest,647,12.965673911454191,12.56075313552135,0.404920775932842,1.3689001140995922,0.17150628617055869,Random Forest,0.6860251446822347,False,False,No significant difference
JNJ,Johnson & Johnson,Stock,Squared_Error,Historical Variance,LSTM,647,12.965673911454191,12.532194862175906,0.4334790492782863,1.7561569561848407,0.07953544447529519,LSTM,0.39767722237647596,False,False,No significant difference
