Ticker,Asset,Role,Model,RMSE_Improvement_Percent,MAE_Improvement_Percent,QLIKE_Improvement_Percent
AAPL,Apple,Stock,GARCH,4.63060353479962,2.8108165598580768,7.432586944806824
AAPL,Apple,Stock,Random Forest,-12.935923961844257,-14.13807650315503,3.8420892239964246
AAPL,Apple,Stock,LSTM,2.4048109105315807,11.601395450867209,4.08637073115436
JNJ,Johnson & Johnson,Stock,GARCH,2.06708043571008,5.722005100014417,7.221066915132644
JNJ,Johnson & Johnson,Stock,Random Forest,1.5738964698631261,5.494417859968801,7.810658628172249
JNJ,Johnson & Johnson,Stock,LSTM,1.6858515043076912,9.619675838052686,5.650295182817197
JPM,JPMorgan Chase,Stock,GARCH,2.4053376279217464,3.198503010386036,6.38825856907927
JPM,JPMorgan Chase,Stock,Random Forest,1.7768118151997865,2.8001325346544594,7.41651872946419
JPM,JPMorgan Chase,Stock,LSTM,2.717372804352241,16.832594133552252,7.227527291570068
TSLA,Tesla,Stock,GARCH,1.6733275714091091,4.767075901232385,3.2652760240955883
TSLA,Tesla,Stock,Random Forest,-5.325595047177903,-0.9043831428049497,2.160497225562182
TSLA,Tesla,Stock,LSTM,0.6239772772312381,11.048218192981995,1.017134934638402
WMT,Walmart,Stock,GARCH,1.7669867758694395,7.110158122037201,11.935109128860596
WMT,Walmart,Stock,Random Forest,-4.534937006293476,-6.9586613806164,5.353105762829157
WMT,Walmart,Stock,LSTM,1.5502583572500461,15.715695047950948,8.28889472662859
XOM,Exxon Mobil,Stock,GARCH,2.0847970076381053,0.1783898801324265,1.3277608167656747
XOM,Exxon Mobil,Stock,Random Forest,-1.393148010534141,-1.7816982362634743,1.3516620631027259
XOM,Exxon Mobil,Stock,LSTM,-0.9077531849463678,-19.539741523856044,-3.488814531710317
^GSPC,S&P 500,Benchmark,GARCH,3.7750548250549727,2.021525505275788,15.235402996244678
^GSPC,S&P 500,Benchmark,Random Forest,-5.087951321003289,-3.4964110889015654,18.077610192266295
^GSPC,S&P 500,Benchmark,LSTM,4.726587162500509,18.544881258734968,27.25038600474321
