Forecast_Generated_At,Ticker,Asset,Role,Latest_Data_Date,Latest_Adj_Close,Latest_Log_Return_Pct,Latest_Squared_Return,Deployment_Model_Training_Through,New_Observations_Since_Deployment,Model,Forecast_Horizon,Forecast_Variance,Forecast_Daily_Volatility_Pct,Forecast_Annualised_Volatility_Pct,Research_Test_QLIKE,Research_QLIKE_Winner,Research_Best_Model,Research_Best_QLIKE,Recent_Research_Overlap_Max_Abs_Return_Diff,Research_Overlap_Status
2026-09-01T18:08:27.500366-04:00,AAPL,Apple,Stock,2026-09-01 00:00:00,325.1300048828125,2.5796622336462183,6.654657239700596,2026-08-25 00:00:00,5,GARCH,Next trading session,2.8144369689878457,1.6776283763062203,26.63152485654806,2.0019045795495973,True,GARCH,2.0019045795495973,1.0635972120365269e-05,OK
2026-09-01T18:08:27.500366-04:00,AAPL,Apple,Stock,2026-09-01 00:00:00,325.1300048828125,2.5796622336462183,6.654657239700596,2026-08-25 00:00:00,5,Historical Variance,Next trading session,1.4651739220185624,1.2104436880824163,19.215197848283474,2.1626450534552206,False,GARCH,2.0019045795495973,1.0635972120365269e-05,OK
2026-09-01T18:08:27.500366-04:00,AAPL,Apple,Stock,2026-09-01 00:00:00,325.1300048828125,2.5796622336462183,6.654657239700596,2026-08-25 00:00:00,5,LSTM,Next trading session,1.7810612916946411,1.3345640830228578,21.18554803414463,2.074271358972069,False,GARCH,2.0019045795495973,1.0635972120365269e-05,OK
2026-09-01T18:08:27.500366-04:00,AAPL,Apple,Stock,2026-09-01 00:00:00,325.1300048828125,2.5796622336462183,6.654657239700596,2026-08-25 00:00:00,5,Random Forest,Next trading session,2.160695214766122,1.4699303435081954,23.334420801062592,2.079554300903126,False,GARCH,2.0019045795495973,1.0635972120365269e-05,OK
2026-09-01T18:08:32.571062-04:00,JNJ,Johnson & Johnson,Stock,2026-09-01 00:00:00,271.19000244140625,1.9887428323792928,3.955098053340012,2026-07-31 00:00:00,21,GARCH,Next trading session,1.7875287422284414,1.3369849446528712,21.22397802113372,1.2902120208735126,False,Random Forest,1.2820129794502266,3.2015562512199836e-06,OK
2026-09-01T18:08:32.571062-04:00,JNJ,Johnson & Johnson,Stock,2026-09-01 00:00:00,271.19000244140625,1.9887428323792928,3.955098053340012,2026-07-31 00:00:00,21,Historical Variance,Next trading session,1.521634848168088,1.2335456408937968,19.58192997991664,1.3906303704670988,False,Random Forest,1.2820129794502266,3.2015562512199836e-06,OK
2026-09-01T18:08:32.571062-04:00,JNJ,Johnson & Johnson,Stock,2026-09-01 00:00:00,271.19000244140625,1.9887428323792928,3.955098053340012,2026-07-31 00:00:00,21,LSTM,Next trading session,1.1780109405517578,1.085362124155693,17.229589577788644,1.3120556496338034,False,Random Forest,1.2820129794502266,3.2015562512199836e-06,OK
2026-09-01T18:08:32.571062-04:00,JNJ,Johnson & Johnson,Stock,2026-09-01 00:00:00,271.19000244140625,1.9887428323792928,3.955098053340012,2026-07-31 00:00:00,21,Random Forest,Next trading session,1.535445702566838,1.2391310271988345,19.670595238752774,1.2820129794502266,True,Random Forest,1.2820129794502266,3.2015562512199836e-06,OK
2026-09-01T18:08:37.212699-04:00,JPM,JPMorgan Chase,Stock,2026-09-01 00:00:00,354.95001220703125,-0.3009909314306197,0.090595540803472,2026-07-31 00:00:00,21,GARCH,Next trading session,1.216950518368522,1.10315480254066,17.512039590774904,1.8624348384044025,False,Random Forest,1.8419772813034336,0.0,OK
2026-09-01T18:08:37.212699-04:00,JPM,JPMorgan Chase,Stock,2026-09-01 00:00:00,354.95001220703125,-0.3009909314306197,0.090595540803472,2026-07-31 00:00:00,21,Historical Variance,Next trading session,0.6720623203467803,0.8197940719148805,13.013827443430648,1.989531238214125,False,Random Forest,1.8419772813034336,0.0,OK
