Ticker,Asset,Feature,Center_Median,Scale_IQR
AAPL,Apple,Log_Return,0.08945367237424195,1.776822554063031
AAPL,Apple,Squared_Return,0.7779555037664492,2.690169055451101
JNJ,Johnson & Johnson,Log_Return,0.033409026792532645,1.0172237632466028
JNJ,Johnson & Johnson,Squared_Return,0.26841302287289504,0.8881918232616612
JPM,JPMorgan Chase,Log_Return,0.052115139408221,1.668481713019929
JPM,JPMorgan Chase,Squared_Return,0.6983956249368725,2.377595753953621
TSLA,Tesla,Log_Return,0.12555539332968235,3.4807150661356854
TSLA,Tesla,Squared_Return,3.0768402750316812,10.222882449397915
WMT,Walmart,Log_Return,0.0666556092589263,1.1526395593060328
WMT,Walmart,Squared_Return,0.3390676364827572,1.0114167326632866
XOM,Exxon Mobil,Log_Return,0.0247879781913262,1.5251372030553552
XOM,Exxon Mobil,Squared_Return,0.5839323000854941,1.939782279049241
^GSPC,S&P 500,Log_Return,0.06349065637514115,0.9498125403407351
^GSPC,S&P 500,Squared_Return,0.23112297156547906,0.9174100441727957
